index,type,name
304,Relu,/vision_model/no_bottleneck_policy/hydra/desire_pred/desire_pred.1/Relu
305,Gemm,/vision_model/no_bottleneck_policy/hydra/desire_pred/desire_pred.2/Gemm
306,Add,/vision_model/no_bottleneck_policy/hydra/Add_1
307,Relu,/vision_model/no_bottleneck_policy/hydra/relu_6/Relu
308,Gemm,/vision_model/no_bottleneck_policy/hydra/road_transform/road_transform.0/Gemm
309,Relu,/vision_model/no_bottleneck_policy/hydra/road_transform/road_transform.1/Relu
310,Gemm,/vision_model/no_bottleneck_policy/hydra/road_transform/road_transform.2/Gemm
311,Add,/vision_model/no_bottleneck_policy/hydra/Add_2
312,Relu,/vision_model/no_bottleneck_policy/hydra/relu_7/Relu
313,Gemm,/vision_model/no_bottleneck_policy/hydra/pose/pose.0/Gemm
314,Relu,/vision_model/no_bottleneck_policy/hydra/pose/pose.1/Relu
315,Gemm,/vision_model/no_bottleneck_policy/hydra/pose/pose.2/Gemm
316,Add,/vision_model/no_bottleneck_policy/hydra/Add_3
317,Relu,/vision_model/no_bottleneck_policy/hydra/relu_8/Relu
318,Gemm,/vision_model/no_bottleneck_policy/hydra/wide_from_device_euler/wide_from_device_euler.0/Gemm
319,Relu,/vision_model/no_bottleneck_policy/hydra/wide_from_device_euler/wide_from_device_euler.1/Relu
320,Gemm,/vision_model/no_bottleneck_policy/hydra/wide_from_device_euler/wide_from_device_euler.2/Gemm
321,Add,/vision_model/no_bottleneck_policy/hydra/Add_4
322,Relu,/vision_model/no_bottleneck_policy/hydra/relu_9/Relu
323,Gemm,/vision_model/no_bottleneck_policy/hydra/meta_1/Gemm
324,Gemm,/vision_model/no_bottleneck_policy/hydra/desire_pred_1/Gemm
325,Gemm,/vision_model/no_bottleneck_policy/hydra/road_transform_1/Gemm
326,Gemm,/vision_model/no_bottleneck_policy/hydra/pose_1/Gemm
327,Gemm,/vision_model/no_bottleneck_policy/hydra/wide_from_device_euler_1/Gemm
328,Gemm,/summarizer/_infeats/_infeats.0/Gemm
329,Relu,/summarizer/_infeats/_infeats.1/Relu
330,Gemm,/summarizer/resblock/block_a/block_a.0/Gemm
331,Relu,/summarizer/resblock/block_a/block_a.2/Relu
332,Gemm,/summarizer/resblock/block_a/block_a.3/Gemm
333,Add,/summarizer/resblock/Add
334,Relu,/summarizer/resblock/block_b/block_b.0/Relu
335,Gemm,/summarizer/resblock/block_b/block_b.1/Gemm
336,Relu,/summarizer/resblock/block_b/block_b.3/Relu
337,Gemm,/summarizer/resblock/block_b/block_b.4/Gemm
338,Add,/summarizer/resblock/Add_1
339,Relu,/summarizer/resblock/final_relu/Relu
340,Gemm,/summarizer/_mu/Gemm
341,Mul,/summarizer/Mul
342,ReduceSum,/summarizer/ReduceSum
